model_set,model,year_id,location_id,abbreviation,state_name,state,region,division,population,pc,pc_lower,pc_upper,fr,fr_upper,fr_lower,aroc,aroc_yrs
Payer,Private,2019,524,AK,Alaska,2,West,Pacific,743798.423760937,4257.16753128733,3751.75293286989,4819.02099977444,0.300216936900724,0.33180158529071,0.269290589447915,0.0137122304477042,2013-2019
Aggregate,Aggregate,2019,525,AZ,Arizona,4,West,Mountain,7199762.48402269,7818.10825548676,7573.83625548676,8062.38025548676,,,,0.0224691695769841,2013-2019
toc,Dental,2019,525,AZ,Arizona,4,West,Mountain,7199762.48402269,386.183990625221,361.802020280657,410.979943889377,0.0493961770672039,0.0524287156583458,0.0463406198915029,0.00746857079359242,2013-2019
toc,Home health,2019,525,AZ,Arizona,4,West,Mountain,7199762.48402269,169.10234687109,146.348235542377,193.049611861258,0.0216294102585054,0.0246837225926506,0.0187007020524055,0.0200610975906546,2013-2019
toc,Hospital,2019,525,AZ,Arizona,4,West,Mountain,7199762.48402269,2899.34294224786,2791.07665267436,3003.64706643745,0.370850321514166,0.382497614593534,0.358340254066297,0.0216100248149111,2013-2019
Payer,Medicaid,2019,525,AZ,Arizona,4,West,Mountain,7199762.48402269,1614.01949832263,1250.74603184588,1961.51519251729,0.206445447434178,0.25081778552991,0.160775892174971,0.0488935532992807,2013-2019
Payer,Medicare,2019,525,AZ,Arizona,4,West,Mountain,7199762.48402269,2095.22245129196,1955.84293502685,2222.17039072886,0.267998931296098,0.284653063106498,0.251016986885159,0.0310347036016341,2013-2019
toc,Skilled nursing,2019,525,AZ,Arizona,4,West,Mountain,7199762.48402269,329.185342876332,275.698361317696,381.456140780022,0.0421053536402381,0.0486185570990103,0.0353156044348676,0.00964355308000497,2013-2019
Payer,OOP,2019,525,AZ,Arizona,4,West,Mountain,7199762.48402269,1452.80442655756,730.389492323196,2177.59183471463,0.185820906363294,0.279215729322205,0.0937097772467217,-0.020203704839853,2013-2019
toc,Other professional,2019,525,AZ,Arizona,4,West,Mountain,7199762.48402269,313.12405527284,297.16722907285,329.730961516979,0.0400511834842571,0.0421155712016769,0.0381559078124142,0.0338062447151712,2013-2019
toc,Other,2019,525,AZ,Arizona,4,West,Mountain,7199762.48402269,626.685010584474,514.983360826979,732.519107962579,0.0801574480843288,0.0937269808499846,0.0658458308760791,0.0254744400494991,2013-2019
toc,Pharmaceuticals,2019,525,AZ,Arizona,4,West,Mountain,7199762.48402269,997.794723317948,915.507526452533,1079.96969536823,0.127624973124353,0.137849749601885,0.117360005077798,0.0386172325244296,2013-2019
toc,Physician/clinical services,2019,525,AZ,Arizona,4,West,Mountain,7199762.48402269,2097.39451014377,1927.90289127006,2264.88375805557,0.268267732628468,0.288751422845299,0.247414319385199,0.0191725136927743,2013-2019
Payer,Private,2019,525,AZ,Arizona,4,West,Mountain,7199762.48402269,2645.54727010175,2026.39148660077,3244.17696348372,0.338375239546329,0.415937625952627,0.260026344495694,0.0278181796177619,2013-2019
Aggregate,Aggregate,2019,526,AR,Arkansas,5,South,West South Central,3055395.21190794,9220.36536348428,9047.21536348428,9393.51536348428,,,,0.032190752229162,2013-2019
toc,Dental,2019,526,AR,Arkansas,5,South,West South Central,3055395.21190794,364.093008894217,343.983816724928,384.423559520531,0.0394875882538783,0.0414068099515652,0.0375390286300233,0.0141114657613564,2013-2019
toc,Home health,2019,526,AR,Arkansas,5,South,West South Central,3055395.21190794,230.212189201659,203.656635981654,258.165212697602,0.0249680753898523,0.0279823329427772,0.0221162963129225,0.0351837425797914,2013-2019
toc,Hospital,2019,526,AR,Arkansas,5,South,West South Central,3055395.21190794,3403.83006242572,3251.30406425631,3553.19904518367,0.369166735104993,0.383681390169137,0.355767953671294,0.0321793801673771,2013-2019
Payer,Medicaid,2019,526,AR,Arkansas,5,South,West South Central,3055395.21190794,2192.41626342098,1961.58174971312,2417.84428790265,0.237780133426274,0.260476199007941,0.213891458766964,0.0648721390141391,2013-2019
Payer,Medicare,2019,526,AR,Arkansas,5,South,West South Central,3055395.21190794,2416.31868785641,1889.02857533689,2980.9198009016,0.262030809743831,0.321707792889527,0.205502633765232,0.0343941007318556,2013-2019
toc,Skilled nursing,2019,526,AR,Arkansas,5,South,West South Central,3055395.21190794,503.308949734697,454.022968135451,551.315694043244,0.0545870109322473,0.059617166073525,0.0494701128834932,0.00658459744814288,2013-2019
Payer,OOP,2019,526,AR,Arkansas,5,South,West South Central,3055395.21190794,2095.64673935666,1827.88506423267,2366.38116126013,0.227290785061272,0.256035432098773,0.19929766904197,0.00554436011134851,2013-2019
toc,Other professional,2019,526,AR,Arkansas,5,South,West South Central,3055395.21190794,328.923120533233,282.360403217986,375.482052441307,0.0356723148281897,0.0403889046874698,0.0307211415965189,0.0331991805292928,2013-2019
toc,Other,2019,526,AR,Arkansas,5,South,West South Central,3055395.21190794,920.438937727204,650.34865975152,1187.77520661808,0.0998223084166849,0.128493218862295,0.0704691846233948,0.0383139804679529,2013-2019
toc,Pharmaceuticals,2019,526,AR,Arkansas,5,South,West South Central,3055395.21190794,1492.2322549131,1348.85179041336,1640.72840317874,0.161839253377976,0.177176222883236,0.14679713445274,0.0440947792509421,2013-2019
toc,Physician/clinical services,2019,526,AR,Arkansas,5,South,West South Central,3055395.21190794,1979.12984626483,1898.02566316845,2064.30485763946,0.21464677596177,0.22141146181162,0.20746677671214,0.0311024858647921,2013-2019
Payer,Private,2019,526,AR,Arkansas,5,South,West South Central,3055395.21190794,2503.77867261883,2209.68130703663,2768.41597883942,0.271544640080226,0.300174036306107,0.241899290557393,0.0280692576068233,2013-2019
Aggregate,Aggregate,2019,527,CA,California,6,West,Pacific,39889329.7403947,9445.2648930568,9200.0128930568,9690.5168930568,,,,0.0272162154803415,2013-2019
toc,Dental,2019,527,CA,California,6,West,Pacific,39889329.7403947,439.235604303897,363.190633318887,510.577356472114,0.0465038427214362,0.0541637171148311,0.0384210269109137,0.0119817233865782,2013-2019
toc,Home health,2019,527,CA,California,6,West,Pacific,39889329.7403947,383.041217300464,355.212378042552,412.760083136609,0.0405537062392223,0.0437269714996424,0.0375871714154239,0.0316340472574348,2013-2019
toc,Hospital,2019,527,CA,California,6,West,Pacific,39889329.7403947,3491.65375607415,3350.85888879407,3633.83599454943,0.369672274413716,0.384663151067523,0.354991007736021,0.0263994202087061,2013-2019
Payer,Medicaid,2019,527,CA,California,6,West,Pacific,39889329.7403947,2092.74730938363,1554.8666138516,2637.32490372042,0.221564648089026,0.279098942203931,0.165029183035949,0.0445530014370414,2013-2019
Payer,Medicare,2019,527,CA,California,6,West,Pacific,39889329.7403947,2200.03531650714,2067.77551089883,2335.47033255381,0.232924904479589,0.247667863813425,0.218824129965827,0.0343800031274337,2013-2019
toc,Skilled nursing,2019,527,CA,California,6,West,Pacific,39889329.7403947,454.529749276865,435.981524956584,472.21424738638,0.0481225887362055,0.0500230810178422,0.0461757186653602,0.0221152819188672,2013-2019
Payer,OOP,2019,527,CA,California,6,West,Pacific,39889329.7403947,1873.74904600366,1119.40568462895,2601.60330217645,0.198376616239592,0.275496971555595,0.118439755717439,0.00373476260840455,2013-2019
toc,Other professional,2019,527,CA,California,6,West,Pacific,39889329.7403947,301.438577374009,235.999449703436,366.53819097403,0.0319143988442458,0.038797333956825,0.0250037690131744,0.0447557771131575,2013-2019
toc,Other,2019,527,CA,California,6,West,Pacific,39889329.7403947,718.076371985596,504.170327614314,931.677811245278,0.0760238463461264,0.0986720587465464,0.0533496776479786,0.0232526766243171,2013-2019
toc,Pharmaceuticals,2019,527,CA,California,6,West,Pacific,39889329.7403947,1280.06404136234,1171.83112648748,1392.64090913379,0.135525003834439,0.147470240320378,0.124149662783635,0.0474387066357611,2013-2019
toc,Physician/clinical services,2019,527,CA,California,6,West,Pacific,39889329.7403947,2376.60381709495,2282.7080478435,2470.16298051115,0.25161800761686,0.261160345061135,0.241950491802582,0.0207172959061908,2013-2019
Payer,Private,2019,527,CA,California,6,West,Pacific,39889329.7403947,3289.22093236972,2859.01837049923,3718.33065162257,0.348240619525483,0.393446772327844,0.302210898197556,0.0271937361673642,2013-2019
Aggregate,Aggregate,2019,528,CO,Colorado,8,West,Mountain,5777236.52005521,8267.88263192687,8192.78863192687,8342.97663192687,,,,0.0243952608271472,2013-2019
toc,Dental,2019,528,CO,Colorado,8,West,Mountain,5777236.52005521,487.486428962471,461.54406554508,513.220254342449,0.0589615460780709,0.0618091702821597,0.0559330942148078,0.0110908387663231,2013-2019
toc,Home health,2019,528,CO,Colorado,8,West,Mountain,5777236.52005521,239.986512190477,208.263839335397,272.293030722235,0.0290265076285303,0.0329513810702316,0.0250999986305886,0.0311948368449406,2013-2019
toc,Hospital,2019,528,CO,Colorado,8,West,Mountain,5777236.52005521,3398.99052539557,3257.55198938585,3553.75839814937,0.411105177629532,0.428294294562185,0.394976968930336,0.0283547270962765,2013-2019
Payer,Medicaid,2019,528,CO,Colorado,8,West,Mountain,5777236.52005521,1504.9133706955,1310.13061948398,1703.51271292541,0.182023703925064,0.205375970105154,0.158624881462946,0.0641783173811368,2013-2019
Payer,Medicare,2019,528,CO,Colorado,8,West,Mountain,5777236.52005521,1706.40750847369,1631.45079915063,1782.0848598518,0.206389454566904,0.214741258904529,0.198232419900952,0.0384357590981033,2013-2019
toc,Skilled nursing,2019,528,CO,Colorado,8,West,Mountain,5777236.52005521,440.914795530137,415.418281571633,466.149588912366,0.0533287751843986,0.0563411336509198,0.0503059011568277,0.00697714584137854,2013-2019
Payer,OOP,2019,528,CO,Colorado,8,West,Mountain,5777236.52005521,1561.5683093673,1151.29282179551,1968.4300528224,0.188874295468835,0.237678551966593,0.138723780408856,-0.015849850119383,2013-2019
toc,Other professional,2019,528,CO,Colorado,8,West,Mountain,5777236.52005521,409.047559114704,362.851519789079,459.631108822438,0.0494756410037401,0.0553931853769243,0.0438540160294526,0.0333245698326221,2013-2019
toc,Other,2019,528,CO,Colorado,8,West,Mountain,5777236.52005521,558.02703648269,469.495193791735,644.401150962886,0.0674919181613633,0.0775348507175981,0.0571538528902536,0.0116052854975255,2013-2019
toc,Pharmaceuticals,2019,528,CO,Colorado,8,West,Mountain,5777236.52005521,840.442875082179,745.960351126655,925.577009753023,0.101651400187031,0.111609182036639,0.0901646674169337,0.038789058034987,2013-2019
toc,Physician/clinical services,2019,528,CO,Colorado,8,West,Mountain,5777236.52005521,1894.19244025387,1804.86777199375,1984.39478046593,0.229104248946088,0.239683543937326,0.218854811394148,0.020578494674566,2013-2019
Payer,Private,2019,528,CO,Colorado,8,West,Mountain,5777236.52005521,3505.21202379563,3144.80429854684,3857.17295618356,0.423959702657422,0.465051190443411,0.380582804149362,0.0240723307371111,2013-2019
Aggregate,Aggregate,2019,529,CT,Connecticut,9,Northeast,New England,3650323.5179705,12055.1990913356,11635.8870913356,12474.5110913356,,,,0.023729651635203,2013-2019
toc,Dental,2019,529,CT,Connecticut,9,Northeast,New England,3650323.5179705,541.135305137789,513.506435063826,570.941225325245,0.044888003381045,0.0469604298235715,0.0428615181889721,0.010190865392989,2013-2019
toc,Home health,2019,529,CT,Connecticut,9,Northeast,New England,3650323.5179705,369.256455217297,343.023381168024,396.339005129596,0.030630172635518,0.0326402772996457,0.0286110119526456,0.0318091192570984,2013-2019
toc,Hospital,2019,529,CT,Connecticut,9,Northeast,New England,3650323.5179705,4198.06552997733,3907.77363128945,4503.28921639023,0.348236350811844,0.371485665644992,0.324735945879231,0.0261410865713163,2013-2019
Payer,Medicaid,2019,529,CT,Connecticut,9,Northeast,New England,3650323.5179705,2356.09093905965,2047.43038753452,2680.34322394788,0.195446061343171,0.22137119260615,0.16937386081481,0.0279900560370214,2013-2019
Payer,Medicare,2019,529,CT,Connecticut,9,Northeast,New England,3650323.5179705,2626.25342739811,2481.72827043523,2788.92533398359,0.217854656033765,0.229540005322187,0.206507157639857,0.0327567921476892,2013-2019
toc,Skilled nursing,2019,529,CT,Connecticut,9,Northeast,New England,3650323.5179705,939.552963126457,872.06437814682,1008.57090718757,0.0779374068018344,0.0828938238229368,0.0728165045108825,0.00231811270294302,2013-2019
Payer,OOP,2019,529,CT,Connecticut,9,Northeast,New England,3650323.5179705,3157.47568648673,2777.40021357019,3536.99117654408,0.261910257033588,0.291220413389512,0.232153257983843,0.0210630845549287,2013-2019
toc,Other professional,2019,529,CT,Connecticut,9,Northeast,New England,3650323.5179705,396.266184622268,379.938336391424,412.494352177477,0.0328709536070291,0.0338481502766696,0.0318725053446905,0.0285047326341543,2013-2019
toc,Other,2019,529,CT,Connecticut,9,Northeast,New England,3650323.5179705,1142.74531834212,958.145639054959,1332.46673495431,0.0947954691025836,0.110848821929777,0.0792339609968623,0.0222741330132192,2013-2019
toc,Pharmaceuticals,2019,529,CT,Connecticut,9,Northeast,New England,3650323.5179705,1854.78782893912,1726.56401249534,1998.99762154552,0.153855453245151,0.164378855543289,0.143809331545962,0.037748235335598,2013-2019
toc,Physician/clinical services,2019,529,CT,Connecticut,9,Northeast,New England,3650323.5179705,2614.18564228371,2500.65195067466,2736.64579058297,0.216853953746859,0.224863270575407,0.209236669112676,0.0205351584940023,2013-2019
Payer,Private,2019,529,CT,Connecticut,9,Northeast,New England,3650323.5179705,3912.19375997789,3245.76515490565,4548.7811129673,0.324500799484094,0.375512098768776,0.271113604104804,0.0174918223081033,2013-2019
Aggregate,Aggregate,2019,530,DE,Delaware,10,South,South Atlantic,995732.508299827,12241.4892298304,12071.9152298304,12411.0632298304,,,,0.0224690484292911,2013-2019
toc,Dental,2019,530,DE,Delaware,10,South,South Atlantic,995732.508299827,464.830285037626,379.916797493868,558.992441116893,0.0379673940733859,0.044546878623258,0.0314348063045296,0.00880467787568229,2013-2019
toc,Home health,2019,530,DE,Delaware,10,South,South Atlantic,995732.508299827,292.4303144584,253.28765831967,330.462078488732,0.0238896663526823,0.0266489409031236,0.0209555061803668,0.016196208613005,2013-2019
toc,Hospital,2019,530,DE,Delaware,10,South,South Atlantic,995732.508299827,4976.24491595527,4540.60609790983,5428.56972793639,0.40649279328025,0.431596644751698,0.37904297258657,0.0245056592334993,2013-2019
Payer,Medicaid,2019,530,DE,Delaware,10,South,South Atlantic,995732.508299827,1983.5498474145,1611.21174328894,2355.06965809577,0.162043108806601,0.192187915086207,0.133614366145871,0.027376325284,2013-2019
Payer,Medicare,2019,530,DE,Delaware,10,South,South Atlantic,995732.508299827,2733.36482052916,2553.88001825926,2910.21982385215,0.223284332581529,0.229791477180046,0.215669173542661,0.034801030770037,2013-2019
toc,Skilled nursing,2019,530,DE,Delaware,10,South,South Atlantic,995732.508299827,668.768716306836,558.280839593547,788.164441968981,0.0546302619076177,0.0641720564270976,0.0463857340190927,0.00453662503181085,2013-2019
Payer,OOP,2019,530,DE,Delaware,10,South,South Atlantic,995732.508299827,3830.23911272428,3039.25302922525,4681.89005853962,0.312928472816893,0.379300849460087,0.250352894971183,0.00725812690032335,2013-2019
toc,Other professional,2019,530,DE,Delaware,10,South,South Atlantic,995732.508299827,418.983182121774,376.809092067106,462.813130621819,0.0342277863660787,0.0373572384057298,0.0312723622605502,0.0193645218781788,2013-2019
toc,Other,2019,530,DE,Delaware,10,South,South Atlantic,995732.508299827,942.734892638771,831.432626542696,1048.36315653764,0.0770149547654575,0.0850968601546827,0.0692894721143224,0.0259260148971383,2013-2019
toc,Pharmaceuticals,2019,530,DE,Delaware,10,South,South Atlantic,995732.508299827,1854.58155115263,1675.2913534648,2042.14565588853,0.15149796800252,0.162784863742343,0.139369737651643,0.0374062886701794,2013-2019
toc,Physician/clinical services,2019,530,DE,Delaware,10,South,South Atlantic,995732.508299827,2630.99720992651,2376.59813181301,2883.75861090432,0.214910629107141,0.231572683945198,0.198512209845701,0.0166447675470647,2013-2019
Payer,Private,2019,530,DE,Delaware,10,South,South Atlantic,995732.508299827,3704.19584970885,2883.40267259771,4587.94207422436,0.302575323918838,0.370535346746562,0.235864329762691,0.0283066557945131,2013-2019
Aggregate,Aggregate,2019,531,DC,District of Columbia,11,South,South Atlantic,689769.743737855,14449.1391639369,13917.9011639369,14980.3771639369,,,,0.0168108812013383,2013-2019
toc,Dental,2019,531,DC,District of Columbia,11,South,South Atlantic,689769.743737855,471.267469656577,390.488611886327,552.841785593713,0.0326210213134611,0.0373785540925801,0.0276061930689953,-0.0041270675873486,2013-2019
toc,Home health,2019,531,DC,District of Columbia,11,South,South Atlantic,689769.743737855,802.170286306381,697.605042021087,916.755403356253,0.0555149452828069,0.0612908784166267,0.0496715244233844,0.0266327816573018,2013-2019
toc,Hospital,2019,531,DC,District of Columbia,11,South,South Atlantic,689769.743737855,6444.12418505895,5715.03709551218,7252.41927145908,0.446014613184554,0.48557194489286,0.409740301906596,0.0145831359634401,2013-2019
Payer,Medicaid,2019,531,DC,District of Columbia,11,South,South Atlantic,689769.743737855,3922.61426447965,3298.59154611128,4589.00266299233,0.271448106196652,0.309438565495148,0.235859226778465,0.00364136617687461,2013-2019
Payer,Medicare,2019,531,DC,District of Columbia,11,South,South Atlantic,689769.743737855,2024.61897633789,1593.84246820779,2467.50801755778,0.140134138870258,0.168760613325951,0.112770532494778,0.0251565755759164,2013-2019
toc,Skilled nursing,2019,531,DC,District of Columbia,11,South,South Atlantic,689769.743737855,659.527226369576,448.674040242604,872.748103977428,0.0456524925903112,0.0589494659046692,0.0317704436541141,-0.00418927300157557,2013-2019
Payer,OOP,2019,531,DC,District of Columbia,11,South,South Atlantic,689769.743737855,1619.18178942997,1197.42306991246,2080.40083357712,0.112078775864675,0.141905157124692,0.0826490692448451,0.0586041147229872,2013-2019
toc,Other professional,2019,531,DC,District of Columbia,11,South,South Atlantic,689769.743737855,272.645636169628,246.541277495454,300.754911417407,0.0188697697559121,0.0198861109071625,0.0178635799719607,0.0185415703910388,2013-2019
toc,Other,2019,531,DC,District of Columbia,11,South,South Atlantic,689769.743737855,1474.44215120946,903.956155686967,2104.57224992269,0.1020255438594,0.143666460041821,0.0623123099876343,0.0254076593667998,2013-2019
toc,Pharmaceuticals,2019,531,DC,District of Columbia,11,South,South Atlantic,689769.743737855,1434.09151750255,1273.17112966066,1605.70319021474,0.0992510393290696,0.107111841560561,0.0905060216742978,0.0332145772705219,2013-2019
toc,Physician/clinical services,2019,531,DC,District of Columbia,11,South,South Atlantic,689769.743737855,2904.16561653793,2437.7024208529,3415.01389054183,0.200961805854602,0.229910711742594,0.171862604554306,0.0166732500741182,2013-2019
Payer,Private,2019,531,DC,District of Columbia,11,South,South Atlantic,689769.743737855,6930.4057005147,4769.68977358769,9131.8952952692,0.479625863047233,0.621565750530696,0.33385071996007,0.0149230176000685,2013-2019
Aggregate,Aggregate,2019,532,FL,Florida,12,South,South Atlantic,21587186.6191585,9630.77267931358,9550.97867931358,9710.56667931358,,,,0.0229326610684044,2013-2019
toc,Dental,2019,532,FL,Florida,12,South,South Atlantic,21587186.6191585,382.191696419727,354.150246059782,410.869755971115,0.0396846525526094,0.0426305201861162,0.0368811798036622,0.0147045676907944,2013-2019
toc,Home health,2019,532,FL,Florida,12,South,South Atlantic,21587186.6191585,361.471294199598,299.797691157885,418.059068770582,0.0375311053934497,0.0432455072323679,0.0312714011570818,0.0230978819400374,2013-2019
toc,Hospital,2019,532,FL,Florida,12,South,South Atlantic,21587186.6191585,3328.98465133728,3239.88739015103,3414.5206050799,0.345660764832029,0.353684499607655,0.337653875507954,0.0271681247506692,2013-2019
Payer,Medicaid,2019,532,FL,Florida,12,South,South Atlantic,21587186.6191585,1073.38755350576,1027.00941155178,1121.54722140817,0.111453673910673,0.116272403074911,0.106806696385544,0.021749224251981,2013-2019
Payer,Medicare,2019,532,FL,Florida,12,South,South Atlantic,21587186.6191585,2918.44113754066,2584.9191187711,3240.67289981888,0.303037287020053,0.337038869725987,0.269188940413292,0.022591849371383,2013-2019
toc,Skilled nursing,2019,532,FL,Florida,12,South,South Atlantic,21587186.6191585,524.45137798337,496.252321783408,553.83298895573,0.0544559067993717,0.0574207204343146,0.0515865583384616,-0.00431895273717264,2013-2019
Payer,OOP,2019,532,FL,Florida,12,South,South Atlantic,21587186.6191585,2765.27876795152,2664.84989892916,2874.01828376605,0.287130895675002,0.297560626504761,0.276788400282454,0.0208512153029172,2013-2019
toc,Other professional,2019,532,FL,Florida,12,South,South Atlantic,21587186.6191585,375.489160080815,347.415899040701,404.68597238704,0.0389883495997184,0.0419900274679802,0.0361275904512837,0.0290599621238019,2013-2019
toc,Other,2019,532,FL,Florida,12,South,South Atlantic,21587186.6191585,599.393452592258,578.207768569718,622.063173358788,0.0622370638507731,0.0643109359680787,0.0602326138860972,0.018270492329558,2013-2019
toc,Pharmaceuticals,2019,532,FL,Florida,12,South,South Atlantic,21587186.6191585,1516.12129104008,1423.21758516557,1612.10577939313,0.157425770793407,0.167381209868421,0.14795959493567,0.0399101569886084,2013-2019
toc,Physician/clinical services,2019,532,FL,Florida,12,South,South Atlantic,21587186.6191585,2545.06175269732,2456.59253929252,2637.29445037035,0.264263738459984,0.273206515109616,0.255624350967817,0.0159097803930062,2013-2019
Payer,Private,2019,532,FL,Florida,12,South,South Atlantic,21587186.6191585,2881.2675783734,2315.93295823054,3435.90008301508,0.299175499134237,0.358545873847357,0.239555133562699,0.0262193896708987,2013-2019
Aggregate,Aggregate,2019,533,GA,Georgia,13,South,South Atlantic,10781525.3836217,7863.10714139001,7687.61114139001,8038.60314139001,,,,0.023291642901073,2013-2019
toc,Dental,2019,533,GA,Georgia,13,South,South Atlantic,10781525.3836217,358.985436280697,334.566102484319,381.657489775904,0.0456546480201008,0.0485729809575038,0.0425847402741595,0.00854660092052262,2013-2019
toc,Home health,2019,533,GA,Georgia,13,South,South Atlantic,10781525.3836217,197.949295561336,173.978675953017,223.115141738115,0.0251744551240602,0.0284052113735045,0.0222370386709434,0.0107000030959883,2013-2019
toc,Hospital,2019,533,GA,Georgia,13,South,South Atlantic,10781525.3836217,2993.2636919669,2950.13398533835,3040.77168251689,0.380671960614633,0.385696471360407,0.375838639085106,0.0260790211032995,2013-2019
Payer,Medicaid,2019,533,GA,Georgia,13,South,South Atlantic,10781525.3836217,995.204441762957,905.653075998431,1087.88803265101,0.126566379008763,0.137868029844505,0.115386264124615,0.0182115012802002,2013-2019
Payer,Medicare,2019,533,GA,Georgia,13,South,South Atlantic,10781525.3836217,1912.09614177514,1711.7654313038,2120.33615564539,0.243176151682854,0.268924144067577,0.2179276952491,0.0302045415664902,2013-2019
toc,Skilled nursing,2019,533,GA,Georgia,13,South,South Atlantic,10781525.3836217,326.096424205776,286.687495426409,362.609224245197,0.0414719320362167,0.0462674052945955,0.0364448911598401,-0.000550910195398102,2013-2019
