model_set,model,year_id,location_id,abbreviation,state_name,state,region,division,population,pc,pc_lower,pc_upper,fr,fr_upper,fr_lower
Payer,Private,2002,523,AL,Alabama,00001,South,East South Central,4503783.26010835,2197.81251282717,2197.81251282717,2197.81251282717,0.349101885298629,0.349101885298629,0.349101885298629
Aggregate,Aggregate,2003,523,AL,Alabama,00001,South,East South Central,4536588.74633788,6831.29968516486,6831.29968516486,6831.29968516486,,,
toc,Dental,2003,523,AL,Alabama,00001,South,East South Central,4536588.74633788,296.154610628535,296.154610628535,296.154610628535,0.0433526011560695,0.0433526011560695,0.0433526011560695
toc,Home health,2003,523,AL,Alabama,00001,South,East South Central,4536588.74633788,164.631588677606,164.631588677606,164.631588677606,0.0240995998221432,0.0240995998221432,0.0240995998221432
toc,Hospital,2003,523,AL,Alabama,00001,South,East South Central,4536588.74633788,2297.85603015882,2297.85603015882,2297.85603015882,0.336371720764783,0.336371720764783,0.336371720764783
Payer,Medicaid,2003,523,AL,Alabama,00001,South,East South Central,4536588.74633788,964.661766932709,964.661766932709,964.661766932709,0.141212040371704,0.141212040371704,0.141212040371704
Payer,Medicare,2003,523,AL,Alabama,00001,South,East South Central,4536588.74633788,1444.56277189294,1444.56277189294,1444.56277189294,0.211462362722867,0.211462362722867,0.211462362722867
toc,Skilled nursing,2003,523,AL,Alabama,00001,South,East South Central,4536588.74633788,417.653938065883,417.653938065883,417.653938065883,0.0611382836816364,0.0611382836816364,0.0611382836816364
Payer,OOP,2003,523,AL,Alabama,00001,South,East South Central,4536588.74633788,2077.24238792595,2077.24238792595,2077.24238792595,0.304077186430128,0.304077186430128,0.304077186430128
toc,Other professional,2003,523,AL,Alabama,00001,South,East South Central,4536588.74633788,149.140424429344,149.140424429344,149.140424429344,0.0218319253001334,0.0218319253001334,0.0218319253001334
toc,Other,2003,523,AL,Alabama,00001,South,East South Central,4536588.74633788,394.569065852787,394.569065852787,394.569065852787,0.0577590040017788,0.0577590040017788,0.0577590040017788
toc,Pharmaceuticals,2003,523,AL,Alabama,00001,South,East South Central,4536588.74633788,1178.84722446086,1178.84722446086,1178.84722446086,0.172565584704313,0.172565584704313,0.172565584704313
toc,Physician/clinical services,2003,523,AL,Alabama,00001,South,East South Central,4536588.74633788,1932.44680289101,1932.44680289101,1932.44680289101,0.282881280569142,0.282881280569142,0.282881280569142
Payer,Private,2003,523,AL,Alabama,00001,South,East South Central,4536588.74633788,2344.83275841326,2344.83275841326,2344.83275841326,0.343248410475301,0.343248410475301,0.343248410475301
Aggregate,Aggregate,2004,523,AL,Alabama,00001,South,East South Central,4569856.38244949,6992.03315690348,6992.03315690348,6992.03315690348,,,
toc,Dental,2004,523,AL,Alabama,00001,South,East South Central,4569856.38244949,286.192649807699,286.192649807699,286.192649807699,0.0409312489494033,0.0409312489494033,0.0409312489494033
toc,Home health,2004,523,AL,Alabama,00001,South,East South Central,4569856.38244949,187.171168303392,187.171168303392,187.171168303392,0.026769204908388,0.026769204908388,0.026769204908388
toc,Hospital,2004,523,AL,Alabama,00001,South,East South Central,4569856.38244949,2339.1988553584,2339.1988553584,2339.1988553584,0.334552025550512,0.334552025550512,0.334552025550512
Payer,Medicaid,2004,523,AL,Alabama,00001,South,East South Central,4569856.38244949,987.235004714697,987.235004714697,987.235004714697,0.141194268185065,0.141194268185065,0.141194268185065
Payer,Medicare,2004,523,AL,Alabama,00001,South,East South Central,4569856.38244949,1549.60637347182,1549.60637347182,1549.60637347182,0.221624574526201,0.221624574526201,0.221624574526201
toc,Skilled nursing,2004,523,AL,Alabama,00001,South,East South Central,4569856.38244949,426.644484107574,426.644484107574,426.644484107574,0.0610186585980836,0.0610186585980836,0.0610186585980836
Payer,OOP,2004,523,AL,Alabama,00001,South,East South Central,4569856.38244949,1955.66553314912,1955.66553314912,1955.66553314912,0.279699121738034,0.279699121738034,0.279699121738034
toc,Other professional,2004,523,AL,Alabama,00001,South,East South Central,4569856.38244949,161.020094552997,161.020094552997,161.020094552997,0.0230290805177341,0.0230290805177341,0.0230290805177341
toc,Other,2004,523,AL,Alabama,00001,South,East South Central,4569856.38244949,405.488559275795,405.488559275795,405.488559275795,0.0579929399899143,0.0579929399899143,0.0579929399899143
toc,Pharmaceuticals,2004,523,AL,Alabama,00001,South,East South Central,4569856.38244949,1274.64447111478,1274.64447111478,1274.64447111478,0.182299546142209,0.182299546142209,0.182299546142209
toc,Physician/clinical services,2004,523,AL,Alabama,00001,South,East South Central,4569856.38244949,1911.67287438284,1911.67287438284,1911.67287438284,0.273407295343756,0.273407295343756,0.273407295343756
Payer,Private,2004,523,AL,Alabama,00001,South,East South Central,4569856.38244949,2499.52624556784,2499.52624556784,2499.52624556784,0.3574820355507,0.3574820355507,0.3574820355507
Aggregate,Aggregate,2005,523,AL,Alabama,00001,South,East South Central,4604550.71069609,7172.2516433827,7172.2516433827,7172.2516433827,,,
toc,Dental,2005,523,AL,Alabama,00001,South,East South Central,4604550.71069609,294.397194187079,294.397194187079,294.397194187079,0.0410466906105696,0.0410466906105696,0.0410466906105696
toc,Home health,2005,523,AL,Alabama,00001,South,East South Central,4604550.71069609,207.493407056854,207.493407056854,207.493407056854,0.0289300232861033,0.0289300232861033,0.0289300232861033
toc,Hospital,2005,523,AL,Alabama,00001,South,East South Central,4604550.71069609,2482.27788060239,2482.27788060239,2482.27788060239,0.346094644196234,0.346094644196234,0.346094644196234
Payer,Medicaid,2005,523,AL,Alabama,00001,South,East South Central,4604550.71069609,1044.21960345879,1044.21960345879,1044.21960345879,0.145591601547083,0.145591601547083,0.145591601547083
Payer,Medicare,2005,523,AL,Alabama,00001,South,East South Central,4604550.71069609,1612.89327744868,1612.89327744868,1612.89327744868,0.224879627437051,0.224879627437051,0.224879627437051
toc,Skilled nursing,2005,523,AL,Alabama,00001,South,East South Central,4604550.71069609,443.860385082058,443.860385082058,443.860385082058,0.0618857796897819,0.0618857796897819,0.0618857796897819
Payer,OOP,2005,523,AL,Alabama,00001,South,East South Central,4604550.71069609,2158.07271801838,2158.07271801838,2158.07271801838,0.300891940958244,0.300891940958244,0.300891940958244
toc,Other professional,2005,523,AL,Alabama,00001,South,East South Central,4604550.71069609,161.635382577713,161.635382577713,161.635382577713,0.0225362118640723,0.0225362118640723,0.0225362118640723
toc,Other,2005,523,AL,Alabama,00001,South,East South Central,4604550.71069609,417.817556365509,417.817556365509,417.817556365509,0.0582547262896161,0.0582547262896161,0.0582547262896161
toc,Pharmaceuticals,2005,523,AL,Alabama,00001,South,East South Central,4604550.71069609,1293.64920907206,1293.64920907206,1293.64920907206,0.18036863085606,0.18036863085606,0.18036863085606
toc,Physician/clinical services,2005,523,AL,Alabama,00001,South,East South Central,4604550.71069609,1871.12062843903,1871.12062843903,1871.12062843903,0.260883293207562,0.260883293207562,0.260883293207562
Payer,Private,2005,523,AL,Alabama,00001,South,East South Central,4604550.71069609,2357.06604445685,2357.06604445685,2357.06604445685,0.32863683005762,0.32863683005762,0.32863683005762
Aggregate,Aggregate,2006,523,AL,Alabama,00001,South,East South Central,4640976.45703413,7271.36385046276,7271.36385046276,7271.36385046276,,,
toc,Dental,2006,523,AL,Alabama,00001,South,East South Central,4640976.45703413,299.731858235091,299.731858235091,299.731858235091,0.0412208582047528,0.0412208582047528,0.0412208582047528
toc,Home health,2006,523,AL,Alabama,00001,South,East South Central,4640976.45703413,215.654069221968,215.654069221968,215.654069221968,0.0296579945189022,0.0296579945189022,0.0296579945189022
toc,Hospital,2006,523,AL,Alabama,00001,South,East South Central,4640976.45703413,2501.86018280929,2501.86018280929,2501.86018280929,0.34407027818448,0.34407027818448,0.34407027818448
Payer,Medicaid,2006,523,AL,Alabama,00001,South,East South Central,4640976.45703413,976.685181205637,976.685181205637,976.685181205637,0.134319393347849,0.134319393347849,0.134319393347849
Payer,Medicare,2006,523,AL,Alabama,00001,South,East South Central,4640976.45703413,1837.6312576513,1837.6312576513,1837.6312576513,0.252721675801487,0.252721675801487,0.252721675801487
toc,Skilled nursing,2006,523,AL,Alabama,00001,South,East South Central,4640976.45703413,445.776069670223,445.776069670223,445.776069670223,0.0613057025941362,0.0613057025941362,0.0613057025941362
Payer,OOP,2006,523,AL,Alabama,00001,South,East South Central,4640976.45703413,1970.29447678655,1970.29447678655,1970.29447678655,0.270966288760417,0.270966288760417,0.270966288760417
toc,Other professional,2006,523,AL,Alabama,00001,South,East South Central,4640976.45703413,157.236384647916,157.236384647916,157.236384647916,0.021624056763149,0.021624056763149,0.021624056763149
toc,Other,2006,523,AL,Alabama,00001,South,East South Central,4640976.45703413,423.391723244651,423.391723244651,423.391723244651,0.0582272778466045,0.0582272778466045,0.0582272778466045
toc,Pharmaceuticals,2006,523,AL,Alabama,00001,South,East South Central,4640976.45703413,1393.83503474351,1393.83503474351,1393.83503474351,0.191688253181665,0.191688253181665,0.191688253181665
toc,Physician/clinical services,2006,523,AL,Alabama,00001,South,East South Central,4640976.45703413,1833.87852789011,1833.87852789011,1833.87852789011,0.252205578706311,0.252205578706311,0.252205578706311
Payer,Private,2006,523,AL,Alabama,00001,South,East South Central,4640976.45703413,2486.75293481928,2486.75293481928,2486.75293481928,0.341992642090248,0.341992642090248,0.341992642090248
Aggregate,Aggregate,2007,523,AL,Alabama,00001,South,East South Central,4678624.78965837,7301.25314184021,7301.25314184021,7301.25314184021,,,
toc,Dental,2007,523,AL,Alabama,00001,South,East South Central,4678624.78965837,305.229282969349,305.229282969349,305.229282969349,0.0418050541516245,0.0418050541516245,0.0418050541516245
toc,Home health,2007,523,AL,Alabama,00001,South,East South Central,4678624.78965837,215.3474302124,215.3474302124,215.3474302124,0.0294945848375453,0.0294945848375453,0.0294945848375453
toc,Hospital,2007,523,AL,Alabama,00001,South,East South Central,4678624.78965837,2471.35557609725,2471.35557609725,2471.35557609725,0.338483754512635,0.338483754512635,0.338483754512635
Payer,Medicaid,2007,523,AL,Alabama,00001,South,East South Central,4678624.78965837,938.092416310803,938.092416310803,938.092416310803,0.128483754512635,0.128483754512635,0.128483754512635
Payer,Medicare,2007,523,AL,Alabama,00001,South,East South Central,4678624.78965837,1880.66574610216,1880.66574610216,1880.66574610216,0.257581227436823,0.257581227436823,0.257581227436823
toc,Skilled nursing,2007,523,AL,Alabama,00001,South,East South Central,4678624.78965837,460.743339059087,460.743339059087,460.743339059087,0.0631046931407943,0.0631046931407943,0.0631046931407943
Payer,OOP,2007,523,AL,Alabama,00001,South,East South Central,4678624.78965837,1894.63565283565,1894.63565283565,1894.63565283565,0.259494584837545,0.259494584837545,0.259494584837545
toc,Other professional,2007,523,AL,Alabama,00001,South,East South Central,4678624.78965837,162.630801029437,162.630801029437,162.630801029437,0.0222743682310469,0.0222743682310469,0.0222743682310469
toc,Other,2007,523,AL,Alabama,00001,South,East South Central,4678624.78965837,455.208092994875,455.208092994875,455.208092994875,0.0623465703971119,0.0623465703971119,0.0623465703971119
toc,Pharmaceuticals,2007,523,AL,Alabama,00001,South,East South Central,4678624.78965837,1423.08540479406,1423.08540479406,1423.08540479406,0.194909747292419,0.194909747292419,0.194909747292419
toc,Physician/clinical services,2007,523,AL,Alabama,00001,South,East South Central,4678624.78965837,1807.65321468376,1807.65321468376,1807.65321468376,0.247581227436823,0.247581227436823,0.247581227436823
Payer,Private,2007,523,AL,Alabama,00001,South,East South Central,4678624.78965837,2587.85932659159,2587.85932659159,2587.85932659159,0.354440433212995,0.354440433212995,0.354440433212995
Aggregate,Aggregate,2008,523,AL,Alabama,00001,South,East South Central,4716171.69793055,7356.37798424743,7356.37798424743,7356.37798424743,,,
toc,Dental,2008,523,AL,Alabama,00001,South,East South Central,4716171.69793055,309.946816272957,309.946816272957,309.946816272957,0.0421330737676424,0.0421330737676424,0.0421330737676424
toc,Home health,2008,523,AL,Alabama,00001,South,East South Central,4716171.69793055,220.44072246476,220.44072246476,220.44072246476,0.0299659320030592,0.0299659320030592,0.0299659320030592
toc,Hospital,2008,523,AL,Alabama,00001,South,East South Central,4716171.69793055,2450.67684846843,2450.67684846843,2450.67684846843,0.333136341514287,0.333136341514287,0.333136341514287
Payer,Medicaid,2008,523,AL,Alabama,00001,South,East South Central,4716171.69793055,987.925887472549,987.925887472549,987.925887472549,0.134295150356336,0.134295150356336,0.134295150356336
Payer,Medicare,2008,523,AL,Alabama,00001,South,East South Central,4716171.69793055,1958.71715561797,1958.71715561797,1958.71715561797,0.266261081175039,0.266261081175039,0.266261081175039
toc,Skilled nursing,2008,523,AL,Alabama,00001,South,East South Central,4716171.69793055,461.595712353703,461.595712353703,461.595712353703,0.0627476882430648,0.0627476882430648,0.0627476882430648
Payer,OOP,2008,523,AL,Alabama,00001,South,East South Central,4716171.69793055,1857.95536435104,1857.95536435104,1857.95536435104,0.252563879714932,0.252563879714932,0.252563879714932
toc,Other professional,2008,523,AL,Alabama,00001,South,East South Central,4716171.69793055,167.504261269626,167.504261269626,167.504261269626,0.0227699367308628,0.0227699367308628,0.0227699367308628
toc,Other,2008,523,AL,Alabama,00001,South,East South Central,4716171.69793055,469.523394948143,469.523394948143,469.523394948143,0.0638253493707849,0.0638253493707849,0.0638253493707849
toc,Pharmaceuticals,2008,523,AL,Alabama,00001,South,East South Central,4716171.69793055,1440.53664691879,1440.53664691879,1440.53664691879,0.195821455885421,0.195821455885421,0.195821455885421
toc,Physician/clinical services,2008,523,AL,Alabama,00001,South,East South Central,4716171.69793055,1836.15358155102,1836.15358155102,1836.15358155102,0.249600222484878,0.249600222484878,0.249600222484878
Payer,Private,2008,523,AL,Alabama,00001,South,East South Central,4716171.69793055,2551.77957680587,2551.77957680587,2551.77957680587,0.346879888753693,0.346879888753693,0.346879888753693
Aggregate,Aggregate,2009,523,AL,Alabama,00001,South,East South Central,4752311.92034651,7561.10483596003,7561.10483596003,7561.10483596003,,,
toc,Dental,2009,523,AL,Alabama,00001,South,East South Central,4752311.92034651,304.001889068338,304.001889068338,304.001889068338,0.0402060142880877,0.0402060142880877,0.0402060142880877
toc,Home health,2009,523,AL,Alabama,00001,South,East South Central,4752311.92034651,231.14193218419,231.14193218419,231.14193218419,0.0305698621033393,0.0305698621033393,0.0305698621033393
toc,Hospital,2009,523,AL,Alabama,00001,South,East South Central,4752311.92034651,2579.24247369881,2579.24247369881,2579.24247369881,0.34111978734009,0.34111978734009,0.34111978734009
Payer,Medicaid,2009,523,AL,Alabama,00001,South,East South Central,4752311.92034651,1046.1684843641,1046.1684843641,1046.1684843641,0.138361854128593,0.138361854128593,0.138361854128593
Payer,Medicare,2009,523,AL,Alabama,00001,South,East South Central,4752311.92034651,2019.72825307469,2019.72825307469,2019.72825307469,0.26712078418342,0.26712078418342,0.26712078418342
toc,Skilled nursing,2009,523,AL,Alabama,00001,South,East South Central,4752311.92034651,449.973044067267,449.973044067267,449.973044067267,0.0595115467685662,0.0595115467685662,0.0595115467685662
Payer,OOP,2009,523,AL,Alabama,00001,South,East South Central,4752311.92034651,1835.06594855797,1835.06594855797,1835.06594855797,0.24269812261173,0.24269812261173,0.24269812261173
toc,Other professional,2009,523,AL,Alabama,00001,South,East South Central,4752311.92034651,170.844036831793,170.844036831793,170.844036831793,0.0225951154676856,0.0225951154676856,0.0225951154676856
toc,Other,2009,523,AL,Alabama,00001,South,East South Central,4752311.92034651,466.554965289176,466.554965289176,466.554965289176,0.0617046020933709,0.0617046020933709,0.0617046020933709
toc,Pharmaceuticals,2009,523,AL,Alabama,00001,South,East South Central,4752311.92034651,1505.93993642613,1505.93993642613,1505.93993642613,0.199169297225452,0.199169297225452,0.199169297225452
toc,Physician/clinical services,2009,523,AL,Alabama,00001,South,East South Central,4752311.92034651,1853.40655839432,1853.40655839432,1853.40655839432,0.245123774713407,0.245123774713407,0.245123774713407
Payer,Private,2009,523,AL,Alabama,00001,South,East South Central,4752311.92034651,2660.14214996329,2660.14214996329,2660.14214996329,0.35181923907626,0.35181923907626,0.35181923907626
Aggregate,Aggregate,2010,523,AL,Alabama,00001,South,East South Central,4787249.56262442,7558.12758426278,7558.12758426278,7558.12758426278,,,
toc,Dental,2010,523,AL,Alabama,00001,South,East South Central,4787249.56262442,309.684727717865,309.684727717865,309.684727717865,0.0409737364532821,0.0409737364532821,0.0409737364532821
toc,Home health,2010,523,AL,Alabama,00001,South,East South Central,4787249.56262442,233.923888848046,233.923888848046,233.923888848046,0.0309499788459661,0.0309499788459661,0.0309499788459661
toc,Hospital,2010,523,AL,Alabama,00001,South,East South Central,4787249.56262442,2590.38114979891,2590.38114979891,2590.38114979891,0.342727894034562,0.342727894034562,0.342727894034562
Payer,Medicaid,2010,523,AL,Alabama,00001,South,East South Central,4787249.56262442,1230.08969177617,1230.08969177617,1230.08969177617,0.162750585784952,0.162750585784952,0.162750585784952
Payer,Medicare,2010,523,AL,Alabama,00001,South,East South Central,4787249.56262442,2041.29461148779,2041.29461148779,2041.29461148779,0.270079406404582,0.270079406404582,0.270079406404582
toc,Skilled nursing,2010,523,AL,Alabama,00001,South,East South Central,4787249.56262442,446.93975398202,446.93975398202,446.93975398202,0.0591336609496536,0.0591336609496536,0.0591336609496536
Payer,OOP,2010,523,AL,Alabama,00001,South,East South Central,4787249.56262442,1772.45077363309,1772.45077363309,1772.45077363309,0.234509242384796,0.234509242384796,0.234509242384796
toc,Other professional,2010,523,AL,Alabama,00001,South,East South Central,4787249.56262442,172.429701453712,172.429701453712,172.429701453712,0.0228138119569109,0.0228138119569109,0.0228138119569109
toc,Other,2010,523,AL,Alabama,00001,South,East South Central,4787249.56262442,481.868452421999,481.868452421999,481.868452421999,0.0637550037426367,0.0637550037426367,0.0637550037426367
toc,Pharmaceuticals,2010,523,AL,Alabama,00001,South,East South Central,4787249.56262442,1482.5018697026,1482.5018697026,1482.5018697026,0.196146711361343,0.196146711361343,0.196146711361343
toc,Physician/clinical services,2010,523,AL,Alabama,00001,South,East South Central,4787249.56262442,1840.39804033762,1840.39804033762,1840.39804033762,0.243499202655645,0.243499202655645,0.243499202655645
Payer,Private,2010,523,AL,Alabama,00001,South,East South Central,4787249.56262442,2514.29250736573,2514.29250736573,2514.29250736573,0.33266076542567,0.33266076542567,0.33266076542567
Aggregate,Aggregate,2011,523,AL,Alabama,00001,South,East South Central,4821100.69162972,7497.92878631711,7497.92878631711,7497.92878631711,,,
toc,Dental,2011,523,AL,Alabama,00001,South,East South Central,4821100.69162972,305.189916202092,305.189916202092,305.189916202092,0.0407032295050641,0.0407032295050641,0.0407032295050641
toc,Home health,2011,523,AL,Alabama,00001,South,East South Central,4821100.69162972,229.967049532562,229.967049532562,229.967049532562,0.0306707433594497,0.0306707433594497,0.0306707433594497
toc,Hospital,2011,523,AL,Alabama,00001,South,East South Central,4821100.69162972,2576.44288411921,2576.44288411921,2576.44288411921,0.343620612777883,0.343620612777883,0.343620612777883
Payer,Medicaid,2011,523,AL,Alabama,00001,South,East South Central,4821100.69162972,1056.94097739473,1056.94097739473,1056.94097739473,0.140964392636474,0.140964392636474,0.140964392636474
Payer,Medicare,2011,523,AL,Alabama,00001,South,East South Central,4821100.69162972,2058.71851923179,2058.71851923179,2058.71851923179,0.274571628766163,0.274571628766163,0.274571628766163
toc,Skilled nursing,2011,523,AL,Alabama,00001,South,East South Central,4821100.69162972,442.979103720563,442.979103720563,442.979103720563,0.0590801961908402,0.0590801961908402,0.0590801961908402
Payer,OOP,2011,523,AL,Alabama,00001,South,East South Central,4821100.69162972,1897.04905658013,1897.04905658013,1897.04905658013,0.253009745843684,0.253009745843684,0.253009745843684
toc,Other professional,2011,523,AL,Alabama,00001,South,East South Central,4821100.69162972,169.311150694275,169.311150694275,169.311150694275,0.0225810561182241,0.0225810561182241,0.0225810561182241
toc,Other,2011,523,AL,Alabama,00001,South,East South Central,4821100.69162972,509.127465839482,509.127465839482,509.127465839482,0.0679024141665073,0.0679024141665073,0.0679024141665073
toc,Pharmaceuticals,2011,523,AL,Alabama,00001,South,East South Central,4821100.69162972,1423.02559518643,1423.02559518643,1423.02559518643,0.18978915854513,0.18978915854513,0.18978915854513
toc,Physician/clinical services,2011,523,AL,Alabama,00001,South,East South Central,4821100.69162972,1841.88562102249,1841.88562102249,1841.88562102249,0.245652589336901,0.245652589336901,0.245652589336901
Payer,Private,2011,523,AL,Alabama,00001,South,East South Central,4821100.69162972,2485.22023311046,2485.22023311046,2485.22023311046,0.331454232753679,0.331454232753679,0.331454232753679
Aggregate,Aggregate,2012,523,AL,Alabama,00001,South,East South Central,4854597.88549538,7642.55890849672,7642.55890849672,7642.55890849672,,,
toc,Dental,2012,523,AL,Alabama,00001,South,East South Central,4854597.88549538,302.938219589695,302.938219589695,302.938219589695,0.0396383231345327,0.0396383231345327,0.0396383231345327
toc,Home health,2012,523,AL,Alabama,00001,South,East South Central,4854597.88549538,222.666571541736,222.666571541736,222.666571541736,0.0291350808292996,0.0291350808292996,0.0291350808292996
toc,Hospital,2012,523,AL,Alabama,00001,South,East South Central,4854597.88549538,2734.35480539024,2734.35480539024,2734.35480539024,0.357780010351021,0.357780010351021,0.357780010351021
Payer,Medicaid,2012,523,AL,Alabama,00001,South,East South Central,4854597.88549538,1110.04166318917,1110.04166318917,1110.04166318917,0.145244763760351,0.145244763760351,0.145244763760351
Payer,Medicare,2012,523,AL,Alabama,00001,South,East South Central,4854597.88549538,2089.79128458712,2089.79128458712,2089.79128458712,0.273441305406723,0.273441305406723,0.273441305406723
toc,Skilled nursing,2012,523,AL,Alabama,00001,South,East South Central,4854597.88549538,430.907513579198,430.907513579198,430.907513579198,0.0563826224617164,0.0563826224617164,0.0563826224617164
Payer,OOP,2012,523,AL,Alabama,00001,South,East South Central,4854597.88549538,2000.68083457633,2000.68083457633,2000.68083457633,0.261781539210911,0.261781539210911,0.261781539210911
toc,Other professional,2012,523,AL,Alabama,00001,South,East South Central,4854597.88549538,175.666939931045,175.666939931045,175.666939931045,0.0229853563491339,0.0229853563491339,0.0229853563491339
toc,Other,2012,523,AL,Alabama,00001,South,East South Central,4854597.88549538,487.912017265432,487.912017265432,487.912017265432,0.0638414467074619,0.0638414467074619,0.0638414467074619
toc,Pharmaceuticals,2012,523,AL,Alabama,00001,South,East South Central,4854597.88549538,1425.57793504306,1425.57793504306,1425.57793504306,0.186531494504826,0.186531494504826,0.186531494504826
toc,Physician/clinical services,2012,523,AL,Alabama,00001,South,East South Central,4854597.88549538,1862.53490615631,1862.53490615631,1862.53490615631,0.243705665662009,0.243705665662009,0.243705665662009
Payer,Private,2012,523,AL,Alabama,00001,South,East South Central,4854597.88549538,2442.04512614412,2442.04512614412,2442.04512614412,0.319532391622018,0.319532391622018,0.319532391622018
